GCA_900617895.1	Haemonchus_placei
GCA_900617915.1	Gongylonema_pulchrum
GCA_900617965.1	Cylicostephanus_goldi
GCA_900617985.1	Anisakis_simplex
GCA_900618025.1	Brugia_timori
GCA_900618365.1	Thelazia_callipaeda
GCA_900618415.1	Soboliphyme_baturini
GCA_900618505.1	Heligmosomoides_polygyrus
GCA_900624965.1	Strongylus_vulgaris
GCA_900624975.1	Angiostrongylus_costaricensis
GCA_900625125.1	Dracunculus_medinensis
GCA_900631915.1	Mesorhabditis_belari
GCA_900883565.2	Caenorhabditis_panamensis
GCA_901765185.1	Panagrolaimus_sp._JU765
GCA_901765195.1	Panagrolaimus_sp._PS1159
GCA_901766145.1	Panagrolaimus_superbus
GCA_901766855.1	Panagrolaimus_sp._ES5
GCA_901779475.1	Panagrolaimus_davidi
GCA_901779485.1	Panagrolaimus_sp._PS1579
GCA_902706615.1	Meloidogyne_luci
GCA_902829315.1	Caenorhabditis_bovis
GCA_903994135.1	Meloidogyne_enterolobii
GCA_904066225.2	Bursaphelenchus_okinawaensis
GCA_904066235.2	Bursaphelenchus_xylophilus
GCA_904845305.1	Caenorhabditis_auriculariae
GCA_911812115.1	Pristionchus_exspectatus
GCA_916381525.1	Cercopithifilaria_johnstoni
GCA_932521025.1	Oscheius_onirici
GCA_932521035.1	Oscheius_dolichura
GCA_932521405.1	Oscheius_sp._JU1382
GCA_932521415.1	Oscheius_sp._DF5120
GCA_943334845.1	Auanema_sp._JU1783
GCA_943737045.1	Parapristionchus_giblindavisi
GCA_945643635.1	Allodiplogaster_sudhausi
GCF_000002985.6	Caenorhabditis_elegans
GCF_000002995.4	Brugia_malayi
GCF_000004555.2	Caenorhabditis_briggsae
GCA_010183535.1	Caenorhabditis_remanei
GCF_000181795.1	Trichinella_spiralis
GCF_000183805.2	Loa_loa
GCF_000507365.1	Necator_americanus
GCF_001040885.1	Strongyloides_ratti
